    molid1      molid2     ss1     ss2   sim12   Sscore
      1398    595720  41.329  76.398  28.878  0.3250
      1398    596179  41.329  76.648  28.919  0.3247
      1398    596448  41.329  81.428  28.747  0.3058
      1398   1086789  41.329  96.048  25.846  0.2317
      1398   1086790  41.329  96.198  25.797  0.2309
      1398   1088073  41.329  90.338  26.052  0.2467
      1398   1202298  41.329  81.098  29.399  0.3160
      1398   1643901  41.329 100.378  25.743  0.2220
      1398    184050  41.329  80.028  31.327  0.3480
      1398    203047  41.329  81.098  28.598  0.3048
      1398    203637  41.329  81.408  28.572  0.3034
      1398    204098  41.329  81.098  28.569  0.3044
      1398     21731  41.329  87.818  25.236  0.2429
      1398    231070  41.329  80.048  28.795  0.3110
      1398   2420773  41.329  77.358  27.656  0.3038
      1398   2420780  41.329  78.128  26.071  0.2792
      1398   2420893  41.329  78.128  26.842  0.2898
      1398   2432043  41.329 101.158  24.173  0.2043
      1398   3115574  41.329  82.098  32.424  0.3563
      1398   3115575  41.329  82.248  32.424  0.3557
      1398    379662  41.329  80.958  29.477  0.3176
      1398    380330  41.329  80.338  29.037  0.3135
      1398    380464  41.329  81.498  28.601  0.3035
      1398    381936  41.329  80.878  29.188  0.3138
      1398    381946  41.329  80.378  29.089  0.3141
      1398    389356  41.329  80.028  28.880  0.3123
      1398    394779  41.329  80.068  28.847  0.3117
      1398    435505  41.329  75.648  31.524  0.3689
      1398    437888  41.329  87.118  26.394  0.2586
      1398    540867  41.329  93.958  32.623  0.3178
      1398    558040  41.329  93.918  32.481  0.3161
      1398    593394  41.329  80.088  29.233  0.3171
      1398    594127  41.329  80.478  30.532  0.3345
      1398    594789  41.329  80.368  29.278  0.3168
      1398    594799  41.329  80.948  31.622  0.3488
      1398       629  41.329  80.288  27.312  0.2896
      1398        71  41.329  80.668  25.181  0.2601
      1398       908  41.329  80.668  27.748  0.2944
      1398   1087300  41.329  93.788  26.130  0.2398
      1398   1087301  41.329  93.978  26.296  0.2412
      1398   1224527  41.329 108.848  32.339  0.2744
      1398    184049  41.329  83.768  31.219  0.3326
      1398    187367  41.329  78.688  31.497  0.3558
      1398    201288  41.329  94.188  25.922  0.2365
      1398    201393  41.329  98.788  30.097  0.2736
      1398    201748  41.329  97.728  30.202  0.2775
      1398    231374  41.329  83.828  29.220  0.3046
      1398   2420779  41.329  81.078  28.539  0.3040
      1398   2420892  41.329  81.078  29.465  0.3170
      1398   2429890  41.329 106.568  27.256  0.2259
      1398    276778  41.329  83.788  29.147  0.3037
      1398    298406  41.329 104.238  27.976  0.2379
      1398   3104091  41.329  96.468  25.781  0.2302
      1398   3104092  41.329  95.748  25.698  0.2307
      1398   3104093  41.329  96.108  25.854  0.2317
      1398   3217984  41.329  96.468  26.454  0.2376
      1398    364565  41.329  79.348  31.465  0.3527
      1398    365697  41.329  79.348  33.372  0.3822
      1398    378358  41.329  94.358  24.922  0.2250
      1398    383102  41.329  98.178  28.993  0.2623
      1398    383451  41.329  86.008  28.452  0.2877
      1398    389357  41.329  83.768  29.238  0.3050
      1398    389559  41.329  83.458  28.791  0.2999
      1398    394777  41.329  90.988  28.857  0.2789
      1398    397180  41.329  81.578  29.674  0.3183
      1398    441618  41.329  93.948  26.297  0.2413
      1398    443843  41.329  90.348  28.941  0.2817
      1398    534706  41.329  97.748  31.906  0.2977
      1398    535823  41.329  97.748  32.027  0.2992
      1398    540613  41.329  97.748  32.027  0.2992
      1398    540868  41.329  97.748  31.906  0.2977
      1398    610449  41.329  89.168  30.054  0.2992
      1398       715  41.329  89.398  24.022  0.2251
      1398   1258452  41.329  80.168  32.483  0.3649
      1398   1940415  41.329  82.188  25.436  0.2593
      1398   1940416  41.329  82.188  23.831  0.2391
      1398   1940418  41.329  82.188  25.921  0.2656
      1398   1940419  41.329  82.188  25.163  0.2558
      1398   1940420  41.329  82.188  27.091  0.2809
      1398   1949725  41.329 104.107  26.211  0.2198
      1398   1949726  41.329 104.107  26.211  0.2198
      1398    201177  41.329  98.178  30.314  0.2776
      1398    201241  41.329 103.268  30.136  0.2633
      1398    201334  41.329  96.798  29.303  0.2693
      1398    201375  41.329  96.788  30.771  0.2867
      1398    201584  41.329  97.248  30.803  0.2858
      1398    202924  41.329  88.878  30.090  0.3006
      1398    203734  41.329  90.058  28.857  0.2815
      1398    204065  41.329  88.318  29.885  0.2996
      1398    216258  41.329  97.478  26.611  0.2372
      1398    216439  41.329  97.438  26.501  0.2361
      1398   2205836  41.329 108.378  27.653  0.2266
      1398    231171  41.329  87.218  29.150  0.2933
      1398   2432062  41.329 111.998  27.115  0.2148
      1398    245570  41.329  98.328  27.666  0.2470
      1398    245571  41.329  98.268  27.825  0.2490
      1398    381912  41.329 102.658  29.070  0.2530
      1398    382642  41.329 105.638  28.890  0.2447
      1398    382850  41.329  97.838  26.188  0.2318
      1398        42  41.329  93.518  23.963  0.2161
      1398    535151  41.329 101.698  32.241  0.2910
      1398    535602  41.329 101.738  32.383  0.2926
      1398    536271  41.329 101.698  32.241  0.2910
      1398    559164  41.329 101.738  32.383  0.2926
      1398    591685  41.329 109.037  27.856  0.2274
      1398    598515  41.329 108.618  27.857  0.2282
      1398    600083  41.329 109.037  27.856  0.2274
      1398    604314  41.329 109.037  29.062  0.2396
      1398   1940406  41.329  86.118  32.598  0.3437
      1398   1940408  41.329  86.118  26.627  0.2641
      1398   1940409  41.329  86.118  26.301  0.2600
      1398   1940411  41.329  86.118  28.125  0.2832
      1398   1949728  41.329 108.407  26.875  0.2187
      1398   1949729  41.329 108.407  26.875  0.2187
      1398    201010  41.329 108.978  30.016  0.2495
      1398    201598  41.329  94.228  31.629  0.3043
      1398   2420891  41.329  93.978  27.164  0.2512
      1398   2420895  41.329  98.507  25.754  0.2257
      1398   2432056  41.329 112.298  27.745  0.2204
      1398    263881  41.329 115.597  25.384  0.1930
      1398   3289646  41.329  86.118  27.844  0.2795
      1398   3289647  41.329  86.118  25.976  0.2560
      1398   3289648  41.329  86.118  26.423  0.2616
      1398    380484  41.329 100.497  29.299  0.2604
      1398    381472  41.329  90.787  28.598  0.2763
      1398    381573  41.329 100.978  30.819  0.2764
      1398    382780  41.329  98.158  33.539  0.3166
      1398    396560  41.329 102.158  28.066  0.2432
      1398    396561  41.329 102.027  28.191  0.2448
      1398    397207  41.329  92.368  30.082  0.2903
      1398    426662  41.329 101.948  30.310  0.2683
      1398    487387  41.329 105.027  30.069  0.2586
      1398    539334  41.329 105.807  31.787  0.2756
      1398    557840  41.329 105.807  31.666  0.2742
      1398    569270  41.329  90.028  28.397  0.2758
      1398    599116  41.329 113.097  28.614  0.2274
      1398    604127  41.329 113.097  27.947  0.2210
      1398    604316  41.329 113.097  28.720  0.2285
      1398    137781  41.329 128.317  25.360  0.1758
      1398    138989  41.329 128.317  25.360  0.1758
      1398   1779058  41.329 114.658  27.438  0.2134
      1398   1940402  41.329  91.317  32.330  0.3223
      1398   1940403  41.329  91.317  32.642  0.3264
      1398   1940404  41.329  91.317  33.740  0.3411
      1398   1949727  41.329 107.437  28.047  0.2323
      1398    201287  41.329  96.327  29.850  0.2769
      1398    201432  41.329 108.297  26.408  0.2143
      1398    201577  41.329  93.747  28.435  0.2666
      1398   2036989  41.329 123.767  30.409  0.2258
      1398   2037430  41.329  94.418  25.507  0.2314
      1398   2420782  41.329  98.137  26.297  0.2324
      1398   2420890  41.329  96.927  28.876  0.2640
      1398   2420894  41.329 101.457  28.341  0.2476
      1398   2432042  41.329 117.327  28.841  0.2222
      1398   2432051  41.329 115.617  27.742  0.2147
      1398    245764  41.329 102.158  28.066  0.2432
      1398   3115577  41.329 101.987  31.184  0.2781
      1398   3286429  41.329  94.418  27.385  0.2527
      1398    343755  41.329 128.317  25.360  0.1758
      1398    381325  41.329  89.308  29.385  0.2902
      1398    467094  41.329 109.738  28.432  0.2318
      1398    536044  41.329 109.797  32.001  0.2686
      1398    558766  41.329 109.837  32.143  0.2701
      1398    604732  41.329 116.817  27.850  0.2137
      1398   1258671  41.329  97.427  30.906  0.2866
      1398   2204343  41.329  95.847  28.058  0.2571
